data,sku,deposito,demanda_nao_atendida,criticidade
2026-06-06,SKU-000136,DEP-001,15,Média
2026-06-06,SKU-000143,DEP-001,12,Média
2026-06-06,SKU-000182,DEP-001,10,Baixa
2026-06-06,SKU-000196,DEP-001,31,Alta
2026-06-07,SKU-000006,DEP-001,10,Baixa
2026-06-07,SKU-000007,DEP-001,325,Média
2026-06-07,SKU-000017,DEP-001,85,Média
2026-06-07,SKU-000019,DEP-001,63,Média
2026-06-07,SKU-000020,DEP-001,10,Média
2026-06-07,SKU-000033,DEP-001,4,Baixa
2026-06-07,SKU-000042,DEP-001,14,Baixa
2026-06-07,SKU-000046,DEP-001,6,Baixa
2026-06-07,SKU-000049,DEP-001,28,Média
2026-06-07,SKU-000071,DEP-001,12,Baixa
2026-06-07,SKU-000088,DEP-001,19,Alta
2026-06-07,SKU-000090,DEP-001,29,Média
2026-06-07,SKU-000132,DEP-001,21,Média
2026-06-07,SKU-000136,DEP-001,17,Média
2026-06-07,SKU-000143,DEP-001,15,Média
2026-06-07,SKU-000182,DEP-001,11,Baixa
2026-06-07,SKU-000196,DEP-001,42,Alta
